iter	Passed	Remaining
0	7	7316
1	13	6809
2	19	6454
3	25	6289
4	31	6283
5	38	6303
6	45	6461
7	52	6460
8	59	6525
9	66	6602
10	73	6602
11	80	6617
12	87	6626
13	96	6803
14	106	6960
15	114	7039
16	121	7018
17	129	7089
18	138	7151
19	148	7263
20	156	7276
21	163	7281
22	171	7303
23	180	7328
24	187	7294
25	194	7287
26	201	7254
27	209	7259
28	216	7233
29	224	7268
30	231	7246
31	238	7220
32	246	7226
33	253	7214
34	260	7189
35	267	7154
36	275	7159
37	282	7146
38	289	7138
39	296	7107
40	303	7089
41	309	7063
42	316	7035
43	322	7016
44	329	6994
45	336	6969
46	343	6955
47	350	6949
48	357	6937
49	363	6914
50	371	6908
51	377	6890
52	384	6873
53	392	6884
54	402	6914
55	410	6924
56	419	6940
57	425	6917
58	432	6904
59	440	6905
60	448	6897
61	455	6889
62	461	6867
63	469	6865
64	475	6845
65	483	6837
66	490	6828
67	497	6818
68	504	6804
69	510	6783
70	517	6773
71	523	6749
72	530	6736
73	536	6718
74	543	6704
75	551	6703
76	558	6695
77	565	6689
78	572	6674
79	579	6664
80	586	6648
81	592	6630
82	599	6619
83	606	6610
84	613	6605
85	620	6596
86	627	6584
87	634	6572
88	641	6567
89	657	6647
90	665	6646
91	668	6596
92	675	6584
93	682	6576
94	689	6563
95	696	6558
96	704	6555
97	711	6546
98	717	6530
99	723	6513
100	730	6504
101	737	6492
102	745	6490
103	751	6478
104	759	6476
105	766	6463
106	773	6451
107	779	6438
108	785	6424
109	792	6415
110	799	6405
111	807	6403
112	814	6393
113	821	6383
114	829	6382
115	835	6366
116	842	6362
117	850	6355
118	858	6357
119	866	6352
120	873	6343
121	879	6330
122	885	6314
123	892	6306
124	898	6292
125	905	6282
126	912	6274
127	919	6262
128	926	6253
129	932	6240
130	939	6233
131	945	6218
132	951	6205
133	958	6196
134	965	6184
135	971	6173
136	977	6160
137	983	6145
138	990	6136
139	997	6126
140	1004	6117
141	1010	6106
142	1016	6093
143	1024	6088
144	1031	6082
145	1038	6076
146	1046	6072
147	1054	6069
148	1061	6064
149	1069	6057
150	1077	6055
151	1084	6048
152	1090	6038
153	1097	6029
154	1104	6022
155	1110	6010
156	1117	6002
157	1124	5990
158	1130	5979
159	1137	5971
160	1144	5963
161	1151	5955
162	1157	5943
163	1164	5934
164	1170	5924
165	1177	5913
166	1184	5909
167	1191	5901
168	1198	5892
169	1204	5882
170	1211	5871
171	1217	5863
172	1224	5852
173	1230	5843
174	1238	5836
175	1244	5828
176	1252	5822
177	1259	5815
178	1266	5810
179	1273	5803
180	1281	5796
181	1288	5790
182	1295	5782
183	1301	5772
184	1308	5763
185	1315	5756
186	1322	5748
187	1329	5742
188	1336	5733
189	1343	5728
190	1351	5725
191	1358	5717
192	1365	5708
193	1371	5698
194	1378	5692
195	1385	5682
196	1391	5672
197	1398	5662
198	1404	5652
199	1411	5645
200	1417	5636
201	1424	5626
202	1430	5616
203	1436	5606
204	1443	5599
205	1450	5591
206	1457	5584
207	1465	5578
208	1472	5573
209	1479	5566
210	1486	5556
211	1493	5551
212	1499	5540
213	1506	5533
214	1512	5523
215	1519	5514
216	1526	5508
217	1533	5499
218	1540	5493
219	1547	5485
220	1554	5478
221	1561	5471
222	1568	5463
223	1576	5460
224	1582	5451
225	1589	5444
226	1596	5435
227	1602	5425
228	1608	5417
229	1615	5409
230	1622	5402
231	1629	5393
232	1635	5384
233	1642	5376
234	1648	5367
235	1656	5361
236	1664	5358
237	1672	5353
238	1679	5347
239	1686	5339
240	1693	5333
241	1700	5324
242	1707	5320
243	1714	5312
244	1721	5305
245	1728	5296
246	1735	5289
247	1741	5279
248	1748	5272
249	1755	5265
250	1761	5257
251	1770	5253
252	1776	5245
253	1783	5238
254	1789	5229
255	1796	5220
256	1802	5212
257	1809	5204
258	1816	5196
259	1822	5187
260	1828	5177
261	1835	5169
262	1842	5161
263	1849	5154
264	1855	5147
265	1862	5140
266	1871	5138
267	1879	5133
268	1886	5127
269	1894	5121
270	1901	5114
271	1907	5105
272	1914	5099
273	1921	5091
274	1927	5082
275	1934	5075
276	1941	5067
277	1948	5060
278	1955	5053
279	1963	5049
280	1971	5043
281	1977	5034
282	1983	5025
283	1990	5018
284	1997	5011
285	2004	5003
286	2010	4995
287	2017	4987
288	2024	4979
289	2030	4972
290	2036	4962
291	2043	4955
292	2050	4946
293	2056	4938
294	2063	4931
295	2071	4927
296	2088	4944
297	2096	4939
298	2103	4930
299	2110	4925
300	2117	4917
301	2124	4910
302	2131	4902
303	2137	4893
304	2144	4887
305	2151	4879
306	2158	4872
307	2164	4863
308	2171	4855
309	2178	4848
310	2185	4841
311	2192	4834
312	2199	4826
313	2205	4819
314	2212	4811
315	2218	4803
316	2226	4796
317	2232	4788
318	2240	4781
319	2246	4773
320	2252	4765
321	2259	4757
322	2265	4748
323	2274	4744
324	2281	4737
325	2287	4730
326	2295	4725
327	2302	4717
328	2310	4712
329	2316	4704
330	2324	4697
331	2331	4690
332	2338	4684
333	2345	4677
334	2352	4670
335	2360	4664
336	2367	4657
337	2374	4650
338	2380	4642
339	2388	4636
340	2395	4629
341	2401	4620
342	2408	4613
343	2415	4605
344	2422	4599
345	2428	4591
346	2436	4584
347	2442	4575
348	2448	4568
349	2456	4561
350	2462	4553
351	2472	4551
352	2479	4544
353	2487	4538
354	2494	4533
355	2503	4528
356	2509	4520
357	2517	4515
358	2524	4507
359	2531	4499
360	2537	4491
361	2544	4484
362	2551	4476
363	2558	4469
364	2565	4463
365	2572	4455
366	2578	4447
367	2586	4441
368	2592	4433
369	2600	4427
370	2606	4419
371	2613	4412
372	2620	4404
373	2626	4396
374	2633	4389
375	2640	4381
376	2647	4374
377	2653	4365
378	2659	4357
379	2666	4351
